AKAP11	PPP1CC
AKAP11	GSK3B
AKAP11	PRKAR1A
AKAP11	PRKAR2A
AKAP12	ADRB2
AKAP12	PRKAR2A
AKAP12	PRKCA
AKAP13	RHOA
AKAP13	ESR2
AKAP13	CTNNAL1
AKAP13	ESR1
AKAP13	THRA
AKAP13	YWHAB
AKAP13	PRKCA
AKAP13	RXRB
AKAP13	PRKD1
AKAP13	BAK1
AKAP13	PPARA
AKAP13	YWHAG
AKAP13	GNAQ
AKAP13	YWHAZ
AKAP13	PRKAR2A
AKAP13	PRKCH
AKAP13	GNA12
AKAP14	PRKAR2A
AKAP14	PRKAR2B
AKAP14	PRKACA
AKAP17A	MDFI
AKAP17A	EIF4A2
AKAP3	GNA13
AKAP3	AKAP4
AKAP3	PRKAR2A
AKAP4	PRKAR1A
AKAP4	PRKAR2B
AKAP5	GABRB3
AKAP5	ADRB2
AKAP5	IQGAP1
AKAP5	LLGL1
AKAP5	PRKAR1A
AKAP5	PRKCA
AKAP5	PPP3CA
AKAP5	DLG4
AKAP5	DLG1
AKAP5	RET
