prestige	stresscent	gilschmidt
2310	4	33197	0.265054518084525
2311	8	205887	0.261901129303162
2312	20	230784	0.236069118236818
2313	7	55101	0.270809866727097
2314	1	0	0.185104541430081
2315	2	2825	0.238354315240064
2316	1	0	0.215064689368983
2317	2	1509	0.229002981639379
2318	4	16997	0.23595418272276
2319	1	0	1
2320	3	8237	0.259285656164072
2321	23	69185	0.239440172504978
2322	4	3239	0.192131833407948
2323	16	216124	0.300916578031167
2324	9	164689	0.266429239827246
2325	5	15297	0.260116650101986
2326	7	34931	0.264578501973213
2327	11	135319	0.273523710717029
2328	18	67357	0.269945598158689
2329	2	3842	0.259870214410659
2330	10	5580	0.232604778760032
2331	30	285316	0.283647335414069
2332	32	168425	0.287461421771178
2333	11	96228	0.252390106536925
2334	9	21687	0.256980988416343
