gene	gene.y
NFKB2	HSPA1L
NFKB2	PRPF8
NFKB2	DDX3X
NFKB2	NFKBIB
NFKBIB	FBXW11
NFKBIB	POLR1E
NFKBIB	CD3EAP
NFKBIB	MTIF2
NFKBIB	ZNRD1
NFKBIB	HSPA1L
NFKBIB	POLR2H
NFKBIB	NKIRAS1
NFKBIB	SRPRB
NFYB	CNTN2
NFYB	YBX3
NIPSNAP3A	HAP1
NIPSNAP3A	GOLM1
NKX2-1	HIPK2
NKX2-1	HSP90AA2P
NKX2-1	HSF1
NLGN4X	DLGAP2
NMUR1	GNG7
NMUR1	GNAT3
NONO	FXR2
NONO	PSPC1
NONO	ZNRD1
NONO	MED29
NPAS2	HSP90AA2P
NPFFR1	GNG7
